
sample id	frequency
srr14300855	2.455
srr14300591	2.451
srr14300798	2.430
srr12011803	2.384
srr14300778	2.352
srr14300612	2.338
srr12011910	2.326
srr5808401	2.320
srr14300608	2.309
srr14300575	2.288
srr14300670	2.285
srr14300576	2.282
srr14300742	2.280
srr14300653	2.276
srr14300816	2.275
srr14300791	2.236
srr14300604	2.229
srr14300590	2.205
srr14300690	2.201
srr21283114	2.200
srr14300627	2.183
srr14300605	2.162
srr12011857	2.151
srr14300574	2.144
srr14300793	2.139
srr14300804	2.129
srr21283124	2.117
srr14300812	2.096
srr14300577	2.080
srr14300546	2.043
srr14300743	1.970
srr14300792	1.963
srr14300843	1.963
srr14300596	1.954
srr14300617	1.917
srr14300593	1.913
srr21283111	1.892
srr14300683	1.876
srr14300607	1.863
srr14300499	1.845
srr2046339	1.831
srr14300820	1.808
srr14300613	1.798
srr14300664	1.781
srr14300620	1.773
srr14300755	1.771
srr21283109	1.766
srr14300704	1.758
srr14300572	1.717
srr14300767	1.717
srr12088649	1.712
srr14300634	1.702
srr21283113	1.686
srr14300735	1.682
srr13168263	1.655
srr2046292	1.652
srr14300693	1.642
srr14300847	1.612
srr14300644	1.609
srr21283125	1.600
srr6301257	1.586
srr14300662	1.558
srr13168264	1.557
srr21283101	1.523
srr14300622	1.516
srr13168261	1.510
srr14300654	1.505
srr14300611	1.491
srr14300583	1.487
srr14300542	1.473
srr14300623	1.470
srr14300695	1.469
srr12088648	1.457
srr14300506	1.437
srr14300833	1.423
srr14300802	1.413
srr14300686	1.408
srr14300719	1.406
srr14300635	1.399
srr14300814	1.389
srr14300631	1.383
srr14300525	1.381
srr14300789	1.347
srr14300609	1.342
srr14300643	1.326
srr14300595	1.322
srr14300602	1.288
srr12088651	1.286
srr14300625	1.279
srr14300545	1.277
srr14300554	1.272
srr21283118	1.272
srr14300691	1.254
srr14300544	1.248
srr14300550	1.233
srr14300717	1.233
srr14300758	1.228
srr14300815	1.207
srr12088652	1.201
srr14300711	1.199
srr14300763	1.199
srr14300803	1.148
srr13168271	1.140
srr14300746	1.103
srr14300496	1.092
srr14300598	1.083
srr13168262	1.074
srr14300621	1.067
srr13168258	1.064
srr14300765	1.060
srr14300752	1.054
srr14300599	1.051
srr6301247	1.051
srr14300723	1.046
srr8450558	1.018
srr14300551	975
srr14300531	958
srr14300626	953
srr14300756	943
srr14300592	909
srr14300666	893
srr6301261	879
srr14300543	878
srr2046304	869
srr14300688	868
srr14300597	861
srr14300616	853
srr14300808	841
srr13168270	831
srr12088650	827
srr12088653	824
srr14300720	804
srr14300514	802
srr14300606	802
srr14300709	785
srr14300751	774
srr14300682	767
srr14300630	759
srr14300809	754
srr14300699	739
srr21283117	724
srr12088654	722
srr14300700	706
srr14300539	697
srr14300776	697
srr21283108	690
srr11545278	681
srr14300594	676
srr14300749	672
srr14300559	646
srr14300585	640
srr13168259	632
srr14300703	628
srr14300556	613
srr14300637	605
srr6301249	581
srr14300500	575
srr14300754	568
srr21283106	568
srr14300713	565
srr14300712	563
srr14300619	562
srr14300535	552
srr14300708	540
srr14300503	536
srr14300636	525
srr21283119	507
srr14300768	505
srr14300702	494
srr14300567	484
srr12088658	474
srr8450529	473
srr14300811	464
